name,description_en,description_nl,location_lat,location_lng,address,city,province,age_min,age_max,price_min,price_max,is_free,is_indoor,is_outdoor,weather_dependent,phone,email,website,booking_url,images,average_rating,total_reviews,is_featured,type
Efteling Theme Park,Magical theme park featuring fairy tale attractions thrilling rides and enchanting shows for the whole family.,Magisch themapark met sprookjesattracties spannende attracties en betoverende shows voor het hele gezin.,51.6496,5.0451,Europalaan 1,Kaatsheuvel,North Brabant,2,12,43,43,false,false,true,true,+31 416 288 111,,https://www.efteling.com,https://www.efteling.com/en/tickets,"[""https://images.pexels.com/photos/163041/pexels-photo-163041.jpeg"",""https://images.pexels.com/photos/269077/pexels-photo-269077.jpeg""]",4.8,3200,true,venue
NEMO Science Museum,Interactive science and technology museum designed for curious minds of all ages. Explore hands-on exhibits experiments and educational activities.,Interactief wetenschap- en technologiemuseum ontworpen voor nieuwsgierige geesten van alle leeftijden. Ontdek hands-on tentoonstellingen experimenten en educatieve activiteiten.,52.3742,4.9122,Oosterdok 2,Amsterdam,North Holland,0,12,17.50,17.50,false,true,false,false,+31 20 531 3233,,https://www.nemosciencemuseum.nl,https://www.nemosciencemuseum.nl/en/visit/,"[""https://images.pexels.com/photos/2781814/pexels-photo-2781814.jpeg"",""https://images.pexels.com/photos/256490/pexels-photo-256490.jpeg""]",4.7,1250,true,venue
Vondelpark Playground,Large public park with multiple playgrounds open spaces for running and beautiful nature perfect for family picnics.,Groot openbaar park met meerdere speeltuinen open ruimtes om te rennen en prachtige natuur perfect voor familiepicknicks.,52.3579,4.8686,Vondelpark 7,Amsterdam,North Holland,0,12,0,0,true,false,true,true,,,https://www.amsterdam.nl/vondelpark,,"[""https://images.pexels.com/photos/1128318/pexels-photo-1128318.jpeg"",""https://images.pexels.com/photos/1612353/pexels-photo-1612353.jpeg""]",4.5,890,true,venue
Artis Royal Zoo,Historic zoo featuring exotic animals planetarium aquarium and beautiful botanical gardens in the heart of Amsterdam.,Historische dierentuin met exotische dieren planetarium aquarium en prachtige botanische tuinen in het hart van Amsterdam.,52.3660,4.9152,Plantage Kerklaan 38-40,Amsterdam,North Holland,0,12,24.95,24.95,false,false,true,true,+31 20 523 3400,,https://www.artis.nl,https://www.artis.nl/en/plan-your-visit/,"[""https://images.pexels.com/photos/1661535/pexels-photo-1661535.jpeg"",""https://images.pexels.com/photos/792381/pexels-photo-792381.jpeg""]",4.6,2100,true,venue
Madurodam Miniature Park,Miniature city showcasing famous Dutch landmarks and buildings at 1:25 scale. Interactive and educational experience.,Miniatuurstad met beroemde Nederlandse monumenten en gebouwen op schaal 1:25. Interactieve en educatieve ervaring.,52.1005,4.3122,George Maduroplein 1,The Hague,South Holland,2,12,18.50,18.50,false,false,true,true,+31 70 416 2400,,https://www.madurodam.nl,https://www.madurodam.nl/en/tickets,"[""https://images.pexels.com/photos/1470405/pexels-photo-1470405.jpeg"",""https://images.pexels.com/photos/2102587/pexels-photo-2102587.jpeg""]",4.5,1800,true,venue
Indoor Playground Ballorig,Large indoor play center with climbing structures slides trampolines and ball pits. Perfect for active kids regardless of weather.,Groot overdekt speelcentrum met klimstructuren glijbanen trampolines en ballenbaden. Perfect voor actieve kinderen ongeacht het weer.,52.3702,4.8952,Various locations,Amsterdam,North Holland,1,12,8.50,8.50,false,true,false,false,+31 20 123 4567,,https://www.ballorig.nl,https://www.ballorig.nl/locaties/amsterdam,"[""https://images.pexels.com/photos/1449934/pexels-photo-1449934.jpeg"",""https://images.pexels.com/photos/3661254/pexels-photo-3661254.jpeg""]",4.3,650,false,venue
Beach Day at Zandvoort,Beautiful sandy beach with shallow waters beach clubs playgrounds and plenty of family-friendly facilities.,Prachtig zandstrand met ondiep water strandclubs speeltuinen en tal van gezinsvriendelijke faciliteiten.,52.3727,4.5309,Zandvoort Beach,Zandvoort,North Holland,0,12,0,0,true,false,true,true,,,https://www.visitzandvoort.nl,,"[""https://images.pexels.com/photos/457881/pexels-photo-457881.jpeg"",""https://images.pexels.com/photos/1007657/pexels-photo-1007657.jpeg""]",4.4,920,true,venue
Het Amsterdamse Bos Forest,Vast forest park with playgrounds petting zoo canoeing cycling paths and wide open spaces for outdoor activities.,Uitgestrekt bospark met speeltuinen kinderboerderij kanoÃ«n fietspaden en ruime open ruimtes voor buitenactiviteiten.,52.3149,4.8362,Bosbaanweg,Amstelveen,North Holland,0,12,0,0,true,false,true,true,+31 20 545 6100,,https://www.amsterdamsebos.nl,,"[""https://images.pexels.com/photos/1179229/pexels-photo-1179229.jpeg"",""https://images.pexels.com/photos/1496373/pexels-photo-1496373.jpeg""]",4.6,1450,true,venue
Kinderkookcafe Cooking Workshop,Interactive cooking workshops where children learn to prepare healthy meals and develop culinary skills in a fun environment.,Interactieve kookworkshops waar kinderen leren gezonde maaltijden te bereiden en culinaire vaardigheden ontwikkelen in een leuke omgeving.,52.3676,4.9041,Various locations,Amsterdam,North Holland,4,12,25,25,false,true,false,false,+31 20 987 6543,,https://www.kinderkookcafe.nl,https://www.kinderkookcafe.nl/workshops,"[""https://images.pexels.com/photos/1001773/pexels-photo-1001773.jpeg"",""https://images.pexels.com/photos/4259140/pexels-photo-4259140.jpeg""]",4.7,340,false,venue
Archeon Historical Theme Park,Living history museum where children experience life in prehistoric Roman and medieval times through interactive exhibits.,Levend geschiedenismuseum waar kinderen het leven in prehistorische Romeinse en middeleeuwse tijden ervaren door interactieve tentoonstellingen.,52.1183,4.4686,Archeonlaan 1,Alphen aan den Rijn,South Holland,4,12,21.50,21.50,false,false,true,true,+31 172 447 744,,https://www.archeon.nl,https://www.archeon.nl/tickets,"[""https://images.pexels.com/photos/3661254/pexels-photo-3661254.jpeg"",""https://images.pexels.com/photos/1660995/pexels-photo-1660995.jpeg""]",4.4,780,false,venue
